"","Location","lat","long","Elevation","Diameter","Depth","Cal_Volume","ORP","Temp","SpC","DO","TDS","Salinity","pH","Color","chla","DOC","DON","canopy","TP"
"YSF298","YSF","39.12840","-86.32757","258","13.0","1.50","  575.17326","190.7","20.03","44","0.63","0.028","0.02","6.35","0.03900000","  36.62"," 7.054","0.32590","0.2750","455.74185"
"YSF300","YSF","39.12552","-86.34250","257","17.0","1.75"," 1286.22039","181.3","19.87","44","1.01","0.028","0.02","6.30","0.07060000"," 163.64"," 7.800","0.22240","0.1788","160.14341"
"YSF44","YSF","39.10983","-86.29811","298","16.0","1.50"," 1072.33029","140.6","19.72","55","0.19","0.036","0.03","6.38","0.04130000","  27.82","10.824","1.03500","0.1862","737.24615"
"YSF45","YSF","39.11367","-86.29333","301","21.5","1.50"," 2601.86049","116.0","19.26","45","0.80","0.029","0.02","6.18","0.03660000"," 204.10"," 9.922","0.41970","0.2260","211.22282"
"YSF47","YSF","39.11690","-86.28442","289","19.5","1.25"," 1941.20974","138.8","21.41","33","3.55","0.022","0.01","6.33","0.02220000"," 222.61"," 9.246","0.16480","0.2199","477.97085"
"YSF65","YSF","39.14217","-86.28608","272","10.0","1.50","  261.79939","157.5","21.99","28","2.82","0.018","0.01","6.35","0.03570000"," 183.20"," 8.140","0.27100","0.1391","157.96780"
"YSF66","YSF","39.13778","-86.29753","280","17.0","0.75"," 1286.22039","146.0","21.04","37","0.79","0.023","0.02","6.16","0.03750000","  27.95"," 9.662","0.19310","0.1659","442.12067"
"YSF69","YSF","39.12981","-86.28333","283","14.0","1.50","  718.37752","115.5","21.53","65","1.13","0.043","0.03","6.52","0.03320000"," 289.05","10.506","0.46390","0.1752","439.56670"
"YSF70","YSF","39.12757","-86.28623","278","14.5","0.50","  798.12816"," 45.0","21.46","44","3.52","0.029","0.02","6.31","0.04250000"," 401.69","11.266","0.10260","0.2205","538.32023"
"YSF71","YSF","39.12328","-86.28867","283","17.0","1.50"," 1286.22039","215.0","20.78","44","1.96","0.028","0.02","6.24","0.03330000","  78.67","10.502","0.36170","0.1985","381.77129"
"YSF74","YSF","39.11077","-86.28670","265","13.5","1.00","  644.12467","130.0","21.60","58","0.86","0.038","0.03","6.50","0.02680000","  35.78","14.870","1.07900","0.2487","479.38972"
"BC010","BCSP","39.14072","-86.19661","258","20.0","1.20"," 2094.39510","187.4","23.62","15","4.39","0.010","0.01","5.99","0.04870000","  36.46"," 6.616","0.15310","0.3983","145.76550"
"HNF221","HNF","39.03314","-86.31075","198","28.0","1.50"," 5747.02016","203.1","22.50","30","4.27","0.019","0.01","6.50","0.03060000","  87.79"," 9.726","0.13420","0.3941"," 92.41590"
"YSF46","YSF","39.31186","-86.29028","307","16.0","1.25"," 1072.33029","156.2","18.57","36","2.97","0.023","0.02","6.46","0.02710000","   4.84"," 7.318","0.28000","0.1882","651.73544"
"YSF67","YSF","39.13775","-86.29689","276","15.0","1.20","  883.57293","184.4","23.54","34","3.72","0.023","0.01","6.53","0.02870000","  50.91","11.020","0.14410","0.3095","270.62628"
"HNF189","HNF","39.01885","-86.32971","227","35.2","1.50","11418.17295","187.3","24.29","42","3.71","0.027","0.02","6.70","0.01070000","  23.81"," 7.993","0.31530","0.4844",NA
"HNF190","HNF","39.02093","-86.44053","239","31.0","1.50"," 7799.26556","114.5","26.20","82","4.90","0.053","0.04","7.08","0.01570000","  34.81"," 5.829","0.21510",NA,NA
"HNF191","HNF","39.02275","-86.44515","234","35.0","1.50","11224.64875",NA,NA,NA,NA,NA,NA,"6.54",NA,"  24.81"," 9.459","0.35430",NA,NA
"HNF236","HNF","39.06074","-86.31214","247",NA,NA,"    0.00000","294.3","20.00","36",NA,NA,NA,"6.50",NA,"  13.35"," 8.642","0.25600",NA,"151.44099"
"HNF237","HNF","39.00378","-86.30575","278","21.7","0.50"," 2675.14809","400.0","20.30","52","5.90",NA,NA,"7.30",NA,NA,"14.190","1.03700",NA,"431.90479"
